name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,Procent_masy_max,Kategoria_masy
Starvation Lake,23714,Valid,LL3.9,12000.0,Found,1975.0,-30.46667,141.08333,"(-30.466670, 141.083330)",0.02,g
Trenzano,24046,Valid,H3/4,11800.0,Fell,1856.0,45.46667,10.0,"(45.466670, 10.000000)",0.019666666666666666,g
Northwest Africa 7059,54698,Valid,Ureilite,11730.0,Found,2008.0,0.0,0.0,"(0.000000, 0.000000)",0.01955,g
Reckling Peak A79015,22470,Valid,Mesosiderite-an,10022.0,Found,1979.0,-76.21541,158.5392,"(-76.215410, 158.539200)",0.016703333333333334,g
Tagish Lake,23782,Valid,C2-ung,10000.0,Fell,2000.0,59.70444,-134.20139,"(59.704440, -134.201390)",0.016666666666666666,g
Ural,24126,Valid,OC,9400.0,Found,1981.0,55.8,66.0,"(55.800000, 66.000000)",0.015666666666666666,g
Frenchman Bay,10182,Valid,H3.5,8800.0,Found,1964.0,-30.60833,115.16667,"(-30.608330, 115.166670)",0.014666666666666666,g
Zakłodzie,30390,Valid,Enst achon-ung,8680.0,Found,1998.0,50.76278,22.86611,"(50.762780, 22.866110)",0.014466666666666666,g
Patuxent Range 91501,18120,Valid,L7,8550.6,Found,1991.0,-84.71667,-64.5,"(-84.716670, -64.500000)",0.014251,g
Northwest Africa 6747,54607,Valid,H~6,8300.0,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)",0.013833333333333333,g
Paposo 004,57171,Valid,L3.1,8250.0,Found,2011.0,-25.0,-70.46667,"(-25.000000, -70.466670)",0.01375,g
Elephant Moraine 87500,8051,Valid,Mesosiderite-B,8132.0,Found,1987.0,-76.05029,156.07013,"(-76.050290, 156.070130)",0.013553333333333334,g
Talbachat n'aït Isfoul,23792,Valid,LL3,8000.0,Found,1999.0,29.98333,-5.23333,"(29.983330, -5.233330)",0.013333333333333334,g
Clover Springs,5384,Valid,Mesosiderite-A2,7700.0,Found,1954.0,34.45,-111.36667,"(34.450000, -111.366670)",0.012833333333333334,g
Northwest Africa 5717,49399,Valid,Chondrite-ung,7310.0,Found,2008.0,0.0,0.0,"(0.000000, 0.000000)",0.012183333333333332,g
Qarat al Milh 001,35461,Valid,LL4-6,7269.0,Found,2005.0,21.37015,57.7291,"(21.370150, 57.729100)",0.012115,g
Bremervörde,5135,Valid,H/L3.9,7250.0,Fell,1855.0,53.4,9.1,"(53.400000, 9.100000)",0.012083333333333333,g
Inman,12036,Valid,L/LL3.4,7250.0,Found,1966.0,38.25,-97.66667,"(38.250000, -97.666670)",0.012083333333333333,g
Dar al Gani 256,5804,Valid,LL5-6,7141.0,Found,1997.0,27.06117,16.17817,"(27.061170, 16.178170)",0.011901666666666666,g
